datetime,OI_Usd,OI_Contracts
2025-08-15 00:00:00,3046626986.703084,2576045.3300000033
2025-08-15 04:00:00,3061774862.8312726,2574003.7300000023
2025-08-15 08:00:00,3032737398.2600455,2549420.7600000044
2025-08-15 12:00:00,3024447972.1586156,2541409.8300000047
2025-08-15 16:00:00,2841660469.3721323,2424581.5300000017
2025-08-15 20:00:00,2766382853.620322,2367517.680000002
2025-08-16 00:00:00,2769588319.4773207,2361415.3200000008
2025-08-16 04:00:00,2770806541.325551,2360626.450000001
2025-08-16 08:00:00,2772365470.570442,2358532.6200000015
2025-08-16 12:00:00,2767914832.239272,2359006.930000002
2025-08-16 16:00:00,2787311068.255882,2369741.320000001
2025-08-16 20:00:00,2768732749.1693,2354024.29
2025-08-17 00:00:00,2767637974.4070415,2358937.8400000012
2025-08-17 04:00:00,2788109896.413402,2370384.200000002
2025-08-17 04:00:00,2788109896.413402,2370384.200000002
2025-08-17 08:00:00,2808644640.3006315,2381153.7300000014
2025-08-17 12:00:00,2838305006.0026207,2400138.1800000006
2025-08-17 16:00:00,2816130657.9954014,2381989.2900000014
2025-08-17 20:00:00,2761294363.0916214,2349779.780000001
2025-08-18 00:00:00,2795525322.894883,2382674.540000003
2025-08-18 04:00:00,2714402062.2467227,2355115.1200000024
2025-08-18 08:00:00,2746962213.6096053,2385493.200000005
2025-08-18 12:00:00,2748390288.798704,2390933.7400000035
2025-08-18 16:00:00,2786532525.5040035,2400858.600000003
2025-08-18 20:00:00,2755291031.8036237,2370307.9800000032
2025-08-19 00:00:00,2797026605.464404,2408447.6600000034
2025-08-19 04:00:00,2797196809.1495132,2436109.370000003
2025-08-19 08:00:00,2802228261.7121825,2438486.5400000024
2025-08-19 12:00:00,2809399857.434402,2433139.210000002
2025-08-19 16:00:00,2772036001.5169525,2437839.8500000024
2025-08-19 20:00:00,2632363963.1326838,2327933.1600000034
2025-08-20 00:00:00,2666391928.6664147,2363275.8100000042
2025-08-20 04:00:00,2659302240.904665,2342855.1400000043
2025-08-20 08:00:00,2640389730.7881627,2327794.820000002
2025-08-20 12:00:00,2649833226.0135427,2333156.2600000026
2025-08-20 16:00:00,2675185509.207684,2362365.7600000035
2025-08-20 20:00:00,2790585652.844645,2442562.0800000043
2025-08-21 00:00:00,2753677030.5570045,2410642.590000004
2025-08-21 04:00:00,2747109868.9534545,2411651.550000004
2025-08-21 08:00:00,2741691886.427125,2408286.3200000045
2025-08-21 12:00:00,2754202990.743125,2434882.730000004
2025-08-21 16:00:00,2786337774.756206,2471954.5900000054
2025-08-21 20:00:00,2833595459.239357,2526970.3500000066
2025-08-22 00:00:00,2842590142.1895676,2528068.130000007
2025-08-22 04:00:00,2823276735.342367,2500437.7200000063
2025-08-22 08:00:00,2853393675.285009,2523898.7000000076
2025-08-22 12:00:00,2846728024.8484087,2535398.8000000077
2025-08-22 16:00:00,2941037767.902644,2526341.3600000036
2025-08-22 20:00:00,2960551511.163005,2538086.940000004
2025-08-23 00:00:00,2978937371.9730263,2547931.7800000054
2025-08-23 04:00:00,2932959853.6963253,2538251.5800000043
