timestamp,price,open,high,low,close,net_value,alpha,position_size,avg_price,decision_made,decision_type,quantity_pct,take_profit_price,stop_loss_price,similar_pattern_found
2025-02-13T16:00:00,95628.6,,,,,99355.80479477718,-0.2935648812924068,,,False,HOLD,,,,NO
2025-02-13T20:00:00,96617.0,,,,,99611.99438424017,-0.3043064563600308,,,True,LONG,,,,NO
2025-02-14T00:00:00,97147.3,,,,,99771.17512320585,-0.30985227609631827,,,False,HOLD,,,,NO
2025-02-14T04:00:00,96940.9,,,,,99707.33568819676,-0.30771260852147053,,,False,HOLD,,,,NO
2025-02-14T08:00:00,96888.2,,,,,99691.03559989744,-0.3071662883606447,,,False,HOLD,,,,NO
2025-02-14T12:00:00,96936.1,,,,,99705.8510501733,-0.3076628488104277,,,False,HOLD,,,,NO
2025-02-14T16:00:00,97946.0,96938.0,98843.9,96494.4,97946.0,100159.09866675422,700.3074195475173,0.0,,True,CLOSE_TP_HIT,0.0,0.0,0.0,YES
2025-02-14T20:00:00,97504.0,,,,,100159.09866675422,-0.3107740808189041,,,True,SHORT,,,,NO
2025-02-15T00:00:00,97664.3,,,,,100066.44612293494,-0.3138581805137231,,,False,HOLD,,,,NO
2025-02-15T04:00:00,97350.0,,,,,100179.44663213288,-0.3084978224032932,,,False,HOLD,,,,NO
2025-02-15T08:00:00,97622.0,,,,,100081.65427291609,-0.3131367578345274,,,False,HOLD,,,,NO
2025-02-15T12:00:00,97639.0,97623.0,97946.3,97422.2,97639.0,100046.19627349314,-112.90239326106034,0.0,,True,CLOSE_MANUAL,0.0,0.0,0.0,YES
2025-02-15T16:00:00,97536.1,,,,,100046.19627349314,-0.3123351579869341,,,False,HOLD,,,,YES
2025-02-15T20:00:00,97587.3,,,,,100046.19627349314,-0.31302428962722895,,,False,HOLD,,,,YES
2025-02-16T00:00:00,97554.0,,,,,100046.19627349314,-0.31257608486899024,,,True,SHORT,,,,YES
2025-02-16T04:00:00,97258.2,,,,,100117.35496897719,-0.30788314753916524,,,False,HOLD,,,,YES
2025-02-16T08:00:00,97350.2,,,,,100084.33236078065,-0.30945165703728533,,,False,HOLD,,,,YES
2025-02-16T12:00:00,96913.6,,,,,100241.04617315688,-0.30200805652772794,,,False,HOLD,,,,NO
2025-02-16T16:00:00,97064.8,,,,,100186.77423446864,-0.3045858677898559,,,False,HOLD,,,,NO
2025-02-16T20:00:00,96105.6,97064.8,97300.0,96048.4,96105.6,100151.93365990258,105.73738640945828,0.0,,True,CLOSE_MANUAL,0.0,0.0,0.0,YES
2025-02-17T00:00:00,96211.7,,,,,100151.93365990258,-0.29345188677115097,,,False,HOLD,,,,NO
2025-02-17T04:00:00,96056.3,,,,,100151.93365990258,-0.2913602645660375,,,True,LONG,,,,YES
2025-02-17T08:00:00,96073.4,,,,,100114.88838797525,-0.29196087648548724,,,True,LONG,,,,YES
2025-02-17T12:00:00,95656.1,,,,,99865.72125458858,-0.2888358557589043,,,True,LONG,,,,YES
2025-02-17T16:00:00,95541.2,95656.1,95943.8,95188.8,95541.2,99699.31304377384,-430.41359164786854,0.0,,True,CLOSE_SL_HIT,0.0,0.0,0.0,YES
2025-02-17T20:00:00,95778.3,,,,,99724.31961211555,-0.2918946355907446,,,False,HOLD,,,,NO
2025-02-18T00:00:00,96198.0,,,,,99768.58471853906,-0.29710097963259796,,,False,HOLD,,,,NO
2025-02-18T04:00:00,95459.8,,,,,99690.72791233979,-0.28794366924018383,,,True,LONG,,,,YES
2025-02-18T08:00:00,95627.5,,,,,99774.63717943337,-0.2893617518832605,,,False,HOLD,,,,NO
2025-02-18T12:00:00,95542.0,,,,,99687.13347534249,-0.28908599292328635,,,False,HOLD,,,,YES
2025-02-18T16:00:00,94101.8,,,,,98213.1821931005,-0.2844409864419446,,,False,HOLD,,,,YES
2025-02-18T20:00:00,95656.6,,,,,99804.41914187834,-0.2894556066871815,,,False,HOLD,,,,NO
2025-02-19T00:00:00,95719.8,,,,,99869.1002424461,-0.2896594425499928,,,False,HOLD,,,,YES
2025-02-19T04:00:00,95684.8,95719.7,95848.0,95050.3,95684.8,99771.03499478672,49.514926532016005,0.0,,True,CLOSE_MANUAL,0.0,0.0,0.0,YES
2025-02-19T08:00:00,96437.2,,,,,99771.03499478672,-0.30029601375212367,,,True,SHORT,,,,NO
2025-02-19T12:00:00,95940.2,,,,,99916.11475956612,-0.2921557937366242,,,False,HOLD,,,,NO
2025-02-19T16:00:00,96206.3,,,,,99819.76008165925,-0.2967009407008971,,,False,HOLD,,,,NO
2025-02-19T20:00:00,96644.3,,,,,99661.16049908426,-0.30418224235573155,,,False,HOLD,,,,NO
2025-02-20T00:00:00,97067.2,,,,,99507.07190946677,-0.3114151940855134,,,False,HOLD,,,,YES
2025-02-20T04:00:00,96862.7,97067.1,97359.1,96776.2,96862.7,99471.96017069164,-299.0748240950922,0.0,,True,CLOSE_MANUAL,0.0,0.0,0.0,YES
2025-02-20T08:00:00,97203.4,,,,,99471.96017069164,-0.31359950931326763,,,True,LONG,,,,YES
2025-02-20T12:00:00,96907.3,,,,,99290.88917576283,-0.31142483100686646,,,False,HOLD,,,,NO
